Organization,Country,Lattitude,Longitude,Industry,Organization size,Owner,Lead acquisition date,Product,Status,Status sequence,Stage,Stage sequence,"Deal Value, $","Probability, %",Expected close date,Actual close date,,
Crona-Beer,Austria,48.210033,16.363449,IT & IT Services,Medium (201-500),Laura Thompson,25/05/2024,Custom solution,Opportunity,5,Initial contact,2,7020,80,12/12/2024,,,
Runte-Baumbach,Austria,48.210033,16.363449,IT & IT Services,Medium (201-500),Michael Brown,07/03/2024,Services,Opportunity,5,Initial contact,2,3691,30,04/01/2025,,,
"Nitzsche, O'Reilly and White",Netherlands,52.370216,4.895168,Entertainment & Media & Hospitality,Medium (201-500),Kevin Anderson,05/02/2024,Custom solution,Opportunity,5,Initial contact,2,7971,50,01/04/2024,,,
"Rippin, Brakus and Cole",Spain,40.416775,-3.703790,Recreation & Sports,Medium (201-500),Michael Brown,04/03/2024,Services,Opportunity,5,Initial contact,2,2545,100,27/08/2024,,,
Beahan-Jenkins,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),Jessica Martinez,15/05/2024,Custom solution,Opportunity,5,Initial contact,2,3848,90,04/04/2025,,,
"Balistreri, Corkery and Mertz",Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),Sarah Davis,23/05/2024,Custom solution,Opportunity,5,Initial contact,2,386,50,11/09/2024,,,
Willms-Farrell,France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Jessica Martinez,20/05/2024,SAAS,Opportunity,5,Initial contact,2,1523,30,25/01/2025,,,
"O'Reilly, Dach and Simonis",Switzerland,46.204391,6.143158,Manufacturing & Production,Medium (201-500),Jessica Martinez,30/04/2024,SAAS,Opportunity,5,Initial contact,2,1672,90,16/06/2024,,,
Kunde-Lockman,Portugal,38.736946,-9.142685,Telecommunications,Medium (201-500),Emily Johnson,18/01/2024,SAAS,Opportunity,5,Initial contact,2,2045,50,02/10/2024,,,
Legros-Auer,France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Emily Johnson,27/04/2024,SAAS,Opportunity,5,Initial contact,2,2968,20,07/06/2024,,,
Orn LLC,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),John Smith,19/03/2024,Custom solution,Opportunity,5,Initial contact,2,1307,20,01/01/2025,,,
Turcotte-VonRueden,France,48.864716,2.349014,Banking and Finance,Medium (201-500),Sarah Davis,10/03/2024,SAAS,Opportunity,5,Initial contact,2,3725,40,14/12/2024,,,
Vandervort Inc,Austria,48.210033,16.363449,Energy & Utilities,Medium (201-500),Jessica Martinez,26/04/2024,Services,Opportunity,5,Initial contact,2,5200,40,29/12/2024,,,
"Schaden, Dicki and Kiehn",France,48.864716,2.349014,Energy & Utilities,Medium (201-500),Jessica Martinez,22/05/2024,Custom solution,Opportunity,5,Initial contact,2,7311,70,17/05/2025,,,
Bosco Group,Belgium,51.260197,4.402771,Professional Services  & Consulting,Medium (201-500),Laura Thompson,28/01/2024,Custom solution,Opportunity,5,Initial contact,2,1173,40,04/08/2024,,,
Rosenbaum Group,Portugal,38.736946,-9.142685,Retail & Distribution,Medium (201-500),David Wilson,05/05/2024,Custom solution,Opportunity,5,Initial contact,2,7339,70,30/12/2024,,,
Auer-Bradtke,Germany,52.520008,13.404954,Manufacturing & Production,Medium (201-500),Emily Johnson,18/05/2024,SAAS,Opportunity,5,Initial contact,2,5441,40,18/07/2024,,,
"Armstrong, Hermann and Sawayn",Germany,52.520008,13.404954,Entertainment & Media & Hospitality,Medium (201-500),David Wilson,04/03/2024,SAAS,Opportunity,5,Initial contact,2,6675,20,11/12/2024,,,
Feeney LLC,Belgium,51.260197,4.402771,Banking and Finance,Medium (201-500),David Wilson,15/03/2024,Custom solution,Opportunity,5,Initial contact,2,6553,30,29/09/2024,,,
"Marquardt, Denesik and Schmeler",Germany,52.520008,13.404954,Construction & Engineering,Medium (201-500),Emily Johnson,20/04/2024,Custom solution,Opportunity,5,Initial contact,2,6215,40,30/06/2024,,,
"Bernier, Herman and Schulist",Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),Laura Thompson,30/03/2024,SAAS,Opportunity,5,Initial contact,2,7596,30,02/05/2024,,,
Boyer and Sons,Italy,41.902782,12.496366,Telecommunications,Medium (201-500),Jessica Martinez,26/05/2024,SAAS,Opportunity,5,Initial contact,2,7503,50,05/02/2025,,,
Ratke Inc,Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Jessica Martinez,01/03/2024,Custom solution,Opportunity,5,Initial contact,2,3606,30,20/09/2024,,,
"Padberg, Koepp and Walsh",Switzerland,46.204391,6.143158,Agriculture & Mining,Medium (201-500),Laura Thompson,03/02/2024,SAAS,Opportunity,5,Initial contact,2,4178,60,15/04/2024,,,
"Monahan, Dooley and Jast",Switzerland,46.204391,6.143158,Banking and Finance,Medium (201-500),John Smith,08/04/2024,Custom solution,Opportunity,5,Initial contact,2,529,20,23/11/2024,,,
"Lehner, Jacobi and Koepp",Italy,41.902782,12.496366,IT & IT Services,Medium (201-500),Emily Johnson,05/03/2024,Custom solution,Opportunity,5,Initial contact,2,6577,20,15/11/2024,,,
Ondricka-Jerde,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),Jessica Martinez,23/01/2024,Services,Opportunity,5,Initial contact,2,1908,50,20/01/2025,,,
"Gerhold, Fahey and Schowalter",Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Jessica Martinez,28/04/2024,Services,Opportunity,5,Initial contact,2,360,10,05/11/2024,,,
Harvey-Gottlieb,Germany,52.520008,13.404954,IT & IT Services,Medium (201-500),Laura Thompson,29/04/2024,SAAS,Opportunity,5,Initial contact,2,7973,30,13/09/2024,,,
"Botsford, Hudson and Becker",Germany,52.520008,13.404954,Construction & Engineering,Medium (201-500),Michael Brown,18/05/2024,Services,Opportunity,5,Initial contact,2,2029,20,12/08/2024,,,
Bogan Group,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Sarah Davis,21/05/2024,SAAS,Opportunity,5,Initial contact,2,3487,30,08/01/2025,,,
Morissette Group,Netherlands,52.370216,4.895168,Government Administration Healthcare,Medium (201-500),Laura Thompson,26/05/2024,Custom solution,Opportunity,5,Initial contact,2,5274,70,23/10/2024,,,
Huels-Hyatt,Austria,48.210033,16.363449,Construction & Engineering,Medium (201-500),Jessica Martinez,26/05/2024,Services,Opportunity,5,Initial contact,2,7451,20,31/07/2024,,,
Price-Pagac,France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Laura Thompson,13/01/2024,SAAS,Opportunity,5,Initial contact,2,4486,60,30/12/2024,,,
Harris-Lindgren,Germany,52.520008,13.404954,Government Administration Healthcare,Medium (201-500),John Smith,06/02/2024,Custom solution,Opportunity,5,Initial contact,2,7066,80,03/07/2024,,,
Schimmel-Langosh,Portugal,38.736946,-9.142685,IT & IT Services,Medium (201-500),John Smith,23/05/2024,SAAS,Opportunity,5,Initial contact,2,1015,20,28/11/2024,,,
"Bosco, Hills and Reinger",France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Laura Thompson,21/05/2024,Custom solution,Opportunity,5,Initial contact,2,6185,70,26/08/2024,,,
"Crooks, Herzog and Leannon",Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Jessica Martinez,13/04/2024,Services,Opportunity,5,Initial contact,2,4202,40,03/11/2024,,,
"Greenholt, Gorczany and Osinski",Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Michael Brown,05/03/2024,Custom solution,Opportunity,5,Initial contact,2,4592,20,26/09/2024,,,
Dach-Shields,Netherlands,52.370216,4.895168,IT & IT Services,Medium (201-500),Laura Thompson,23/03/2024,Services,Opportunity,5,Initial contact,2,5567,30,12/08/2024,,,
Blanda-Bednar,Portugal,38.736946,-9.142685,Entertainment & Media & Hospitality,Medium (201-500),Jessica Martinez,11/04/2024,SAAS,Opportunity,5,Initial contact,2,7438,60,12/08/2024,,,
"Bergnaum, Johnson and Grimes",Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Medium (201-500),Laura Thompson,26/02/2024,SAAS,Opportunity,5,Initial contact,2,7116,20,23/07/2024,,,
Lesch LLC,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Kevin Anderson,09/05/2024,SAAS,Opportunity,5,Initial contact,2,3763,60,20/01/2025,,,
Reichert LLC,Austria,48.210033,16.363449,Education & Science,Medium (201-500),Laura Thompson,15/05/2024,SAAS,Opportunity,5,Initial contact,2,520,30,21/12/2024,,,
Breitenberg-Huel,Germany,52.520008,13.404954,Transportation & Logistics,Medium (201-500),Laura Thompson,02/02/2024,Services,Opportunity,5,Initial contact,2,7236,70,09/05/2024,,,
O'Conner-Braun,France,48.864716,2.349014,Manufacturing & Production,Medium (201-500),Jessica Martinez,07/03/2024,Services,Opportunity,5,Initial contact,2,7972,30,17/04/2024,,,
"Shanahan, Senger and Rogahn",Portugal,38.736946,-9.142685,Retail & Distribution,Medium (201-500),Michael Brown,03/01/2024,Services,Opportunity,5,Initial contact,2,5674,50,16/03/2024,,,
Aimbo,Spain,40.416775,-3.703790,Transportation & Logistics,Large (501-1000),Kevin Anderson,13/01/2024,Services,Opportunity,5,Initial contact,2,3461,30,21/07/2024,,,
Skajo,Germany,52.520008,13.404954,IT & IT Services,Large (501-1000),Emily Johnson,17/02/2024,Services,Opportunity,5,Initial contact,2,2425,20,02/11/2024,,,
Yodel,Italy,41.902782,12.496366,Banking and Finance,Large (501-1000),John Smith,01/04/2024,SAAS,Opportunity,5,Initial contact,2,19997,100,25/07/2024,,,
Greenfelder-Johns,Italy,41.902782,12.496366,Manufacturing & Production,Large (501-1000),Michael Brown,29/04/2024,Services,Opportunity,5,Initial contact,2,3823,50,10/12/2024,,,
"Mosciski, Hansen and Ruecker",Switzerland,46.204391,6.143158,Manufacturing & Production,Large (501-1000),John Smith,06/04/2024,Custom solution,Opportunity,5,Initial contact,2,9441,50,23/10/2024,,,
Balistreri LLC,Portugal,38.736946,-9.142685,Banking and Finance,Large (501-1000),Laura Thompson,26/04/2024,Services,Opportunity,5,Initial contact,2,16217,40,27/02/2025,,,
"Barrows, Jacobs and O'Hara",Spain,40.416775,-3.703790,Government Administration Healthcare,Large (501-1000),Jessica Martinez,15/04/2024,SAAS,Opportunity,5,Initial contact,2,15769,50,19/09/2024,,,
Schaefer-Lockman,Germany,52.520008,13.404954,Banking and Finance,Large (501-1000),David Wilson,28/02/2024,Custom solution,Opportunity,5,Initial contact,2,8716,30,18/09/2024,,,
Barrows-Waelchi,Germany,52.520008,13.404954,Transportation & Logistics,Large (501-1000),Jessica Martinez,22/03/2024,Custom solution,Opportunity,5,Initial contact,2,11913,50,10/12/2024,,,
Walsh Inc,France,48.864716,2.349014,Recreation & Sports,Enterprise (1001+),Jessica Martinez,25/05/2024,Services,Opportunity,5,Initial contact,2,17606,20,29/06/2024,,,
Trantow Group,Belgium,51.260197,4.402771,Agriculture & Mining,Enterprise (1001+),Laura Thompson,10/05/2024,SAAS,Opportunity,5,Initial contact,2,17361,30,24/11/2024,,,
"Murphy, Hudson and Considine",France,48.864716,2.349014,Manufacturing & Production,Enterprise (1001+),Laura Thompson,10/05/2024,Custom solution,Opportunity,5,Initial contact,2,15588,40,26/02/2025,,,
Tagchat,Portugal,38.736946,-9.142685,Government Administration Healthcare,Small (11-200),Michael Brown,28/01/2024,SAAS,Opportunity,5,Lost,6,1615,30,13/07/2024,,,
Yata,Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Laura Thompson,27/02/2024,Services,Opportunity,5,Lost,6,1317,20,26/12/2024,,,
Cogibox,Italy,41.902782,12.496366,IT & IT Services,Small (11-200),Sarah Davis,09/04/2024,SAAS,Opportunity,5,Lost,6,1152,50,22/10/2024,,,
Skynoodle,France,48.864716,2.349014,Agriculture & Mining,Small (11-200),David Wilson,10/04/2024,SAAS,Opportunity,5,Lost,6,1158,30,22/11/2024,,,
"Heidenreich, Stehr and Johnston",Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Laura Thompson,26/04/2024,Custom solution,Opportunity,5,Lost,6,1306,50,24/03/2025,,,
Schultz-Kirlin,Germany,52.520008,13.404954,Recreation & Sports,Small (11-200),John Smith,13/01/2024,Services,Opportunity,5,Lost,6,1170,20,15/04/2024,,,
Blick-Schamberger,Germany,52.520008,13.404954,Agriculture & Mining,Small (11-200),Emily Johnson,13/01/2024,Custom solution,Opportunity,5,Lost,6,1791,30,29/08/2024,,,
White-Donnelly,Germany,52.520008,13.404954,Recreation & Sports,Small (11-200),Emily Johnson,07/02/2024,SAAS,Opportunity,5,Lost,6,632,50,30/09/2024,,,
Wuckert and Sons,Belgium,51.260197,4.402771,Manufacturing & Production,Small (11-200),Michael Brown,11/05/2024,Custom solution,Opportunity,5,Lost,6,644,20,10/01/2025,,,
"Batz, Fay and Murray",France,48.864716,2.349014,Transportation & Logistics,Small (11-200),David Wilson,30/03/2024,SAAS,Opportunity,5,Lost,6,229,20,23/03/2025,,,
Harvey-Reichel,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Small (11-200),Kevin Anderson,02/05/2024,Custom solution,Opportunity,5,Lost,6,1767,40,24/10/2024,,,
Hilpert and Sons,Germany,52.520008,13.404954,Energy & Utilities,Small (11-200),Emily Johnson,07/04/2024,SAAS,Opportunity,5,Lost,6,1844,20,21/01/2025,,,
Stanton and Sons,Italy,41.902782,12.496366,Agriculture & Mining,Small (11-200),Michael Brown,21/01/2024,Custom solution,Opportunity,5,Lost,6,1361,40,22/06/2024,,,
"Dare, Kassulke and Nicolas",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),John Smith,19/04/2024,Services,Opportunity,5,Lost,6,1548,20,10/08/2024,,,
"O'Connell, Harber and Koelpin",Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),David Wilson,06/01/2024,Services,Opportunity,5,Lost,6,1976,40,05/12/2024,,,
Schmidt-Hettinger,Germany,52.520008,13.404954,Recreation & Sports,Small (11-200),Michael Brown,12/03/2024,SAAS,Opportunity,5,Lost,6,741,30,02/04/2024,,,
Abernathy-Kohler,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Small (11-200),David Wilson,20/04/2024,Services,Opportunity,5,Lost,6,1006,50,12/04/2025,,,
Kessler-Hirthe,France,48.864716,2.349014,Transportation & Logistics,Small (11-200),John Smith,07/05/2024,Services,Opportunity,5,Lost,6,1764,40,15/01/2025,,,
Schowalter-Jacobs,Netherlands,52.370216,4.895168,Banking and Finance,Small (11-200),Michael Brown,14/01/2024,SAAS,Opportunity,5,Lost,6,1271,40,29/11/2024,,,
Parker LLC,Germany,52.520008,13.404954,Transportation & Logistics,Small (11-200),Sarah Davis,25/05/2024,Services,Opportunity,5,Lost,6,1011,40,04/04/2025,,,
Youtags,Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),Michael Brown,09/03/2024,Services,Opportunity,5,Lost,6,902,40,19/12/2024,,,
Lemke-Roberts,Switzerland,46.204391,6.143158,Entertainment & Media & Hospitality,Micro (1-10),Kevin Anderson,11/02/2024,Services,Opportunity,5,Lost,6,381,40,23/09/2024,,,
"Smith, Stiedemann and Rowe",Spain,40.416775,-3.703790,Entertainment & Media & Hospitality,Micro (1-10),Emily Johnson,24/03/2024,Custom solution,Opportunity,5,Lost,6,274,20,04/03/2025,,,
"Bogisich, Kuvalis and Herman",France,48.864716,2.349014,Agriculture & Mining,Micro (1-10),John Smith,09/03/2024,Services,Opportunity,5,Lost,6,444,70,29/01/2025,,,
Okuneva-Schumm,Portugal,38.736946,-9.142685,Government Administration Healthcare,Micro (1-10),Laura Thompson,31/01/2024,SAAS,Opportunity,5,Lost,6,1041,60,25/03/2024,,,
Nader-Ortiz,Switzerland,46.204391,6.143158,IT & IT Services,Micro (1-10),Jessica Martinez,01/04/2024,Custom solution,Opportunity,5,Lost,6,891,30,04/12/2024,,,
Goyette LLC,France,48.864716,2.349014,Agriculture & Mining,Micro (1-10),David Wilson,24/04/2024,Services,Opportunity,5,Lost,6,273,90,25/09/2024,,,
Treutel and Sons,Austria,48.210033,16.363449,Transportation & Logistics,Micro (1-10),Laura Thompson,26/04/2024,SAAS,Opportunity,5,Lost,6,602,60,06/04/2025,,,
Murphy Group,Italy,41.902782,12.496366,Government Administration Healthcare,Micro (1-10),Emily Johnson,02/02/2024,SAAS,Opportunity,5,Lost,6,419,70,30/09/2024,,,
Hamill Group,Portugal,38.736946,-9.142685,Transportation & Logistics,Micro (1-10),Michael Brown,14/02/2024,SAAS,Opportunity,5,Lost,6,301,40,31/01/2025,,,
Keeling-Lang,Portugal,38.736946,-9.142685,Construction & Engineering,Micro (1-10),John Smith,10/03/2024,Services,Opportunity,5,Lost,6,673,50,30/11/2024,,,
"MacGyver, Ondricka and McLaughlin",Italy,41.902782,12.496366,Telecommunications,Micro (1-10),Laura Thompson,26/03/2024,Custom solution,Opportunity,5,Lost,6,458,20,29/08/2024,,,
Linklinks,Germany,52.520008,13.404954,Energy & Utilities,Medium (201-500),Michael Brown,08/05/2024,SAAS,Opportunity,5,Lost,6,6177,50,14/08/2024,,,
Larson and Sons,France,48.864716,2.349014,Agriculture & Mining,Medium (201-500),Laura Thompson,10/01/2024,SAAS,Opportunity,5,Lost,6,2950,20,27/06/2024,,,
Bradtke-Stehr,Italy,41.902782,12.496366,Banking and Finance,Medium (201-500),Laura Thompson,22/01/2024,SAAS,Opportunity,5,Lost,6,5423,40,01/01/2025,,,
Bartoletti LLC,Italy,41.902782,12.496366,Recreation & Sports,Medium (201-500),Jessica Martinez,20/01/2024,SAAS,Opportunity,5,Lost,6,7277,50,14/10/2024,,,
Halvorson-Corkery,Italy,41.902782,12.496366,Energy & Utilities,Medium (201-500),David Wilson,07/01/2024,Services,Opportunity,5,Lost,6,1133,50,01/12/2024,,,
"Reynolds, Gottlieb and Prohaska",Switzerland,46.204391,6.143158,Energy & Utilities,Medium (201-500),David Wilson,02/01/2024,SAAS,Opportunity,5,Lost,6,6015,40,09/12/2024,,,
"Rempel, Senger and Schimmel",Netherlands,52.370216,4.895168,Agriculture & Mining,Medium (201-500),Jessica Martinez,23/05/2024,Services,Opportunity,5,Lost,6,3264,100,01/02/2025,,,
"Kunde, Harris and Bernier",Austria,48.210033,16.363449,Retail & Distribution,Medium (201-500),Jessica Martinez,15/04/2024,Services,Opportunity,5,Lost,6,2913,40,04/10/2024,,,
D'Amore-Pacocha,Italy,41.902782,12.496366,Retail & Distribution,Medium (201-500),Jessica Martinez,02/02/2024,SAAS,Opportunity,5,Lost,6,3059,70,07/09/2024,,,
Mante-Toy,Portugal,38.736946,-9.142685,Government Administration Healthcare,Medium (201-500),Laura Thompson,21/05/2024,SAAS,Opportunity,5,Lost,6,7763,30,22/10/2024,,,
Smith-Parisian,Portugal,38.736946,-9.142685,Banking and Finance,Medium (201-500),Laura Thompson,06/02/2024,SAAS,Opportunity,5,Lost,6,4052,70,25/11/2024,,,
Wuckert LLC,Italy,41.902782,12.496366,Entertainment & Media & Hospitality,Medium (201-500),Laura Thompson,23/02/2024,SAAS,Opportunity,5,Lost,6,1430,30,25/10/2024,,,
Murray Inc,Switzerland,46.204391,6.143158,Government Administration Healthcare,Medium (201-500),John Smith,20/01/2024,SAAS,Opportunity,5,Lost,6,7438,90,28/03/2024,,,
"Treutel, Balistreri and Brakus",France,48.864716,2.349014,Banking and Finance,Medium (201-500),Laura Thompson,03/04/2024,Services,Opportunity,5,Lost,6,1882,30,24/07/2024,,,
Paucek LLC,Spain,40.416775,-3.703790,Transportation & Logistics,Medium (201-500),Michael Brown,18/05/2024,Services,Opportunity,5,Lost,6,2633,40,11/06/2024,,,
Flatley Inc,Switzerland,46.204391,6.143158,Professional Services  & Consulting,Medium (201-500),Kevin Anderson,28/04/2024,Services,Opportunity,5,Lost,6,7268,70,09/02/2025,,,
Huel LLC,Belgium,51.260197,4.402771,Entertainment & Media & Hospitality,Medium (201-500),Laura Thompson,04/04/2024,SAAS,Opportunity,5,Lost,6,7312,80,20/09/2024,,,
Strosin-Feeney,Italy,41.902782,12.496366,Government Administration Healthcare,Medium (201-500),David Wilson,22/04/2024,SAAS,Opportunity,5,Lost,6,5619,10,01/02/2025,,,
Lesch-Sporer,Germany,52.520008,13.404954,Banking and Finance,Medium (201-500),Kevin Anderson,18/01/2024,SAAS,Opportunity,5,Lost,6,6395,20,14/11/2024,,,
Steuber-Gibson,Austria,48.210033,16.363449,Transportation & Logistics,Medium (201-500),Jessica Martinez,29/03/2024,Services,Opportunity,5,Lost,6,7392,30,01/02/2025,,,
Grady Inc,Belgium,51.260197,4.402771,Professional Services  & Consulting,Medium (201-500),Sarah Davis,15/04/2024,Custom solution,Opportunity,5,Lost,6,3692,20,27/03/2025,,,
"Jast, Hirthe and Murphy",France,48.864716,2.349014,Government Administration Healthcare,Medium (201-500),Laura Thompson,29/05/2024,SAAS,Opportunity,5,Lost,6,6882,30,27/05/2025,,,
Kulas-Barrows,Italy,41.902782,12.496366,Construction & Engineering,Medium (201-500),Michael Brown,28/03/2024,Services,Opportunity,5,Lost,6,7069,30,05/08/2024,,,
Quitzon Inc,Portugal,38.736946,-9.142685,Retail & Distribution,Medium (201-500),John Smith,11/02/2024,SAAS,Opportunity,5,Lost,6,5658,60,26/01/2025,,,
"Haley, Boyer and Prohaska",Portugal,38.736946,-9.142685,Professional Services  & Consulting,Medium (201-500),Jessica Martinez,11/03/2024,Services,Opportunity,5,Lost,6,6364,20,10/03/2025,,,
Ernser-Schulist,Italy,41.902782,12.496366,Transportation & Logistics,Medium (201-500),Laura Thompson,14/04/2024,Custom solution,Opportunity,5,Lost,6,4017,10,29/09/2024,,,
Considine Inc,Germany,52.520008,13.404954,Transportation & Logistics,Large (501-1000),Laura Thompson,11/04/2024,Custom solution,Opportunity,5,Lost,6,14173,50,15/02/2025,,,
Moen-Beer,France,48.864716,2.349014,Professional Services  & Consulting,Enterprise (1001+),Jessica Martinez,29/03/2024,Services,Opportunity,5,Lost,6,4825,90,17/07/2024,,,
"Abernathy, Ward and Boyle",Portugal,38.736946,-9.142685,IT & IT Services,Enterprise (1001+),Laura Thompson,17/04/2024,Services,Opportunity,5,Lost,6,18078,40,02/01/2025,,,
Realbridge,Austria,48.210033,16.363449,Agriculture & Mining,Small (11-200),Laura Thompson,17/05/2024,Custom solution,Opportunity,5,Nurturing,3,454,50,21/09/2024,,,
Blogtag,Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Jessica Martinez,14/03/2024,SAAS,Opportunity,5,Nurturing,3,1138,30,27/01/2025,,,
Yacero,France,48.864716,2.349014,Banking and Finance,Small (11-200),Sarah Davis,19/03/2024,Services,Opportunity,5,Nurturing,3,1648,30,04/06/2024,,,
Viva,Italy,41.902782,12.496366,IT & IT Services,Small (11-200),David Wilson,30/03/2024,SAAS,Opportunity,5,Nurturing,3,804,40,22/11/2024,,,
Jaxworks,France,48.864716,2.349014,Construction & Engineering,Small (11-200),Laura Thompson,30/05/2024,SAAS,Opportunity,5,Nurturing,3,1056,40,27/07/2024,,,
Kwideo,Germany,52.520008,13.404954,IT & IT Services,Small (11-200),John Smith,10/05/2024,Services,Opportunity,5,Nurturing,3,1440,10,17/06/2024,,,
Geba,Italy,41.902782,12.496366,Government Administration Healthcare,Small (11-200),David Wilson,14/02/2024,SAAS,Opportunity,5,Nurturing,3,1572,40,02/08/2024,,,
Gigashots,Germany,52.520008,13.404954,Professional Services  & Consulting,Small (11-200),Michael Brown,20/03/2024,SAAS,Opportunity,5,Nurturing,3,1604,50,14/11/2024,,,
Reilly-Bahringer,Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,19/03/2024,SAAS,Opportunity,5,Nurturing,3,687,20,21/02/2025,,,
Runolfsson-Rogahn,Spain,40.416775,-3.703790,IT & IT Services,Small (11-200),Michael Brown,13/05/2024,SAAS,Opportunity,5,Nurturing,3,1322,20,28/12/2024,,,
Purdy LLC,Portugal,38.736946,-9.142685,Agriculture & Mining,Small (11-200),John Smith,26/03/2024,Services,Opportunity,5,Nurturing,3,399,40,28/09/2024,,,
"Terry, Corwin and Harris",Switzerland,46.204391,6.143158,IT & IT Services,Small (11-200),Emily Johnson,29/04/2024,SAAS,Opportunity,5,Nurturing,3,904,30,25/05/2024,,,
Stokes LLC,Portugal,38.736946,-9.142685,Banking and Finance,Small (11-200),David Wilson,23/04/2024,SAAS,Opportunity,5,Nurturing,3,334,40,21/07/2024,,,
"Graham, Bergnaum and Kreiger",Italy,41.902782,12.496366,Transportation & Logistics,Small (11-200),Laura Thompson,17/03/2024,SAAS,Opportunity,5,Nurturing,3,730,70,04/09/2024,,,
Wuckert-Yost,Belgium,51.260197,4.402771,Transportation & Logistics,Small (11-200),Laura Thompson,26/05/2024,SAAS,Opportunity,5,Nurturing,3,861,30,27/09/2024,,,
"Schoen, Rohan and Mosciski",France,48.864716,2.349014,Telecommunications,Small (11-200),Jessica Martinez,16/02/2024,Custom solution,Opportunity,5,Nurturing,3,540,50,28/05/2024,,,
Morar-Heathcote,Italy,41.902782,12.496366,Retail & Distribution,Small (11-200),Laura Thompson,09/01/2024,Services,Opportunity,5,Nurturing,3,1776,40,12/06/2024,,,
"Larkin, Doyle and Corwin",Portugal,38.736946,-9.142685,IT & IT Services,Small (11-200),Laura Thompson,04/05/2024,SAAS,Opportunity,5,Nurturing,3,498,80,04/11/2024,,,
Gerhold-Nicolas,Italy,41.902782,12.496366,Banking and Finance,Small (11-200),Sarah Davis,19/05/2024,Services,Opportunity,5,Nurturing,3,1992,90,06/08/2024,,,
"Hoeger, Kreiger and Deckow",Portugal,38.736946,-9.142685,Energy & Utilities,Small (11-200),Sarah Davis,11/02/2024,SAAS,Opportunity,5,Nurturing,3,1156,40,27/07/2024,,,
O'Reilly-Kerluke,Italy,41.902782,12.496366,Government Administration Healthcare,Small (11-200),John Smith,15/01/2024,Custom solution,Opportunity,5,Nurturing,3,404,50,05/04/2024,,,
Labadie LLC,France,48.864716,2.349014,Government Administration Healthcare,Small (11-200),Kevin Anderson,15/02/2024,Services,Opportunity,5,Nurturing,3,1883,60,24/04/2024,,,
Brown Group,Italy,41.902782,12.496366,Professional Services  & Consulting,Small (11-200),Jessica Martinez,03/05/2024,Custom solution,Opportunity,5,Nurturing,3,1101,10,13/10/2024,,,
Stoltenberg-Kuhn,Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),Jessica Martinez,02/02/2024,Services,Opportunity,5,Nurturing,3,299,30,04/05/2024,,,
Huels-Reichert,Belgium,51.260197,4.402771,Agriculture & Mining,Small (11-200),John Smith,21/05/2024,Services,Opportunity,5,Nurturing,3,1722,40,04/09/2024,,,
Bailey-O'Conner,Germany,52.520008,13.404954,Retail & Distribution,Small (11-200),Laura Thompson,01/03/2024,Custom solution,Opportunity,5,Nurturing,3,330,30,29/08/2024,,,
"Hudson, Spencer and Bahringer",Switzerland,46.204391,6.143158,Transportation & Logistics,Small (11-200),David Wilson,03/02/2024,Custom solution,Opportunity,5,Nurturing,3,994,20,22/06/2024,,,
"Howell, McCullough and Wuckert",Switzerland,46.204391,6.143158,Retail & Distribution,Small (11-200),David Wilson,30/03/2024,Services,Opportunity,5,Nurturing,3,927,80,24/12/2024,,,
"Crona, Bashirian and Armstrong",Germany,52.520008,13.404954,IT & IT Services,Small (11-200),Laura Thompson,15/05/2024,SAAS,Opportunity,5,Nurturing,3,1155,50,24/03/2025,,,
"Veum, Steuber and Blick",Germany,52.520008,13.404954,Education & Science,Small (11-200),Sarah Davis,17/02/2024,SAAS,Opportunity,5,Nurturing,3,735,50,07/04/2024,,,
Torp-Krajcik,Switzerland,46.204391,6.143158,Recreation & Sports,Small (11-200),Michael Brown,24/01/2024,Custom solution,Opportunity,5,Nurturing,3,459,90,28/03/2024,,,
